TVL_usd,symbol
136710351.83513877,wstETH
101140563.02867153,mETH
55275791.92808892,LBTC
25491367.573286522,UNIBTC
13818646.905013004,HYPER
12014235.463765055,LsETH
9400994.238194682,SPK
6141704.63229239,WBTC
4107677.824031138,cbETH
2421128.5883345255,POND
1901100.6702694008,USDB
1762592.210133893,rETH
1629056.033625265,osETH
1370748.7437783522,wBETH
1194813.9275441437,swETH
863305.8930525621,MANTA
834583.185579669,TANSSI
296797.0641464756,SWELL
270675.1449583508,lskETH-OFT
181256.27628740613,rsLSK-OFT
143500.30113038985,LINK
104151.95434168601,sUSDe
52170.71998400069,SIS
19537.437149557594,iBTC
7135.170313470005,rsM-BTC-OFT
6374.895249999996,WETH
3470.9555622017897,sfrxETH
172.95815806555783,ZKL
0,WOETH
0,lvlwaUSDT
0,stETH
0,lvlwaUSDC
